text,score
上,1
好,1
出手,1
多達,1
安心,1
獲利,1
滿意,1
推薦,1
上漲,1
入股,1
知名,1
援助,1
斥資,1
堅定,1
增速,1
竄升,1
搶進,1
出售,1
力量,1
獎,1
超高,1
勇於,1
許可,1
好處,1
補貼,1
矚目,1
漲幅,1
夯,1
期許,1
消除,1
研發,1
青睞,1
有助於,1
達成,1
站穩,1
設廠,1
提起,1
一流,1
靈活,1
深耕,1
建廠,1
新增,1
高級,1
明確,1
公積,1
榮景,1
值得,1
盛大,1
回饋,1
多,1
提升,1
承諾,1
好好,1
平穩,1
順差,1
看準,1
樂見,1
核心,1
勁揚,1
強勢,1
著名,1
長遠,1
價值,1
健全,1
統籌,1
成長,1
商機,1
興趣,1
亮點,1
起飛,1
吸引力,1
走升,1
富有,1
十分,1
拓展,1
共識,1
紅,1
排名,1
理財,1
開拓,1
贊助,1
收漲,1
高,1
更多,1
推廣,1
搶先,1
履行,1
開發出,1
牛市,1
攻勢,1
促進,1
提高,1
高度,1
喜歡,1
退稅,1
如意,1
供不應求,1
絕佳,1
熱潮,1
革新,1
逆勢,1
轉強,1
上市,1
合作案,1
亮麗,1
巨頭,1
高速,1
上升,1
達到,1
肯定,1
補助,1
熱烈,1
買氣,1
倍至,1
諸多,1
加碼,1
迎接,1
開業,1
活化,1
凝聚,1
全面,1
地利,1
心力,1
重回,1
崛起,1
擴增,1
增強,1
橫跨,1
授權,1
節慶,1
定案,1
增加,1
收復,1
重量級,1
倍增,1
拼,1
促成,1
獲,1
獲取,1
想要,1
躍升,1
相信,1
共享,1
中獎,1
發展,1
強項,1
利多,1
效益,1
拿下,1
好轉,1
開心,1
企圖心,1
熱銷,1
友善,1
暢銷,1
強化,1
追價,1
第一,1
減輕,1
首創,1
理想,1
爭議,1
先行,1
開創,1
激勵,1
佳績,1
反攻,1
看俏,1
加分,1
升級,1
增資案,1
優秀,1
收購,1
調升,1
挹注,1
提早,1
溫暖,1
正向,1
舒適,1
季增,1
預期,1
優質,1
加值,1
受益,1
減碳,1
大戶,1
合格,1
築底,1
展望,1
專家,1
超越,1
日益,1
分工,1
明顯,1
恰當,1
優先股,1
穩健,1
豐富,1
辨識,1
蓬勃,1
刷新,1
福利,1
賺,1
深度,1
拉回,1
頂尖,1
開發,1
克服,1
分紅,1
量產,1
股王,1
光,1
刺激,1
受惠,1
尊重,1
幸福,1
質感,1
助益,1
精準,1
大手筆,1
擴大,1
升高,1
充滿,1
上攻,1
清晰,1
爆量,1
重建,1
贈送,1
推進,1
需求,1
迅速,1
翻揚,1
好康,1
精進,1
活躍,1
推展,1
強,1
轉虧為盈,1
回升,1
潮,1
融入,1
合適,1
眾多,1
儲蓄,1
振興,1
鼓勵,1
跟進,1
開工,1
超值,1
創造出,1
衝,1
增值,1
衝刺,1
創新,1
解決,1
看好,1
培育,1
彈,1
利潤,1
超出,1
安排,1
樂觀,1
高於,1
加快,1
推行,1
顯見,1
起來,1
積極,1
專長,1
盈餘,1
對,1
支撐,1
關懷,1
昇華,1
水準,1
知名度,1
迎向,1
世界級,1
投資,1
純益,1
強大,1
長假,1
完工,1
專注,1
熱情,1
攻上,1
主力,1
優惠,1
順利,1
強力,1
適當,1
好事,1
開高走高,1
精簡,1
期盼,1
開放,1
開始,1
休息,1
驗證,1
勝,1
足夠,1
好評,1
增長,1
之上,1
擁有,1
成就,1
安定,1
減免,1
廣泛,1
喜愛,1
詳細,1
優於,1
關心,1
棒,1
極限,1
便捷,1
促銷,1
同意,1
強升,1
搶攻,1
指引,1
拉抬,1
勝出,1
榮獲,1
信心,1
盛行,1
經典,1
服務,1
漲,1
能量,1
緊密,1
慶祝,1
便利,1
開闢,1
漲到,1
通過,1
有利,1
有效,1
新款,1
雙贏,1
低點,1
耕耘,1
衝上,1
紅利,1
高階,1
貢獻,1
增幅,1
轉進,1
穩固,1
給予,1
改善,1
多方,1
加速,1
放大,1
享受,1
飆漲,1
變得,1
演進,1
翻紅,1
蟬聯,1
拉高,1
希望,1
邁進,1
首選,1
可愛,1
湧入,1
展店,1
平衡,1
紅盤,1
升值,1
走揚,1
徵才,1
大於,1
及時,1
攀升,1
暢旺,1
理念,1
核准,1
有助,1
增資,1
豁免,1
創辦,1
站回,1
嚴謹,1
激發,1
領先,1
陽光,1
創下,1
加薪,1
平安,1
創造,1
贏,1
亮眼,1
增,1
降息,1
熱議,1
止跌,1
頂級,1
完善,1
跨足,1
專攻,1
引起,1
正,1
擴張,1
改變,1
擴產,1
創業,1
熱絡,1
躍居,1
爭取,1
最好,1
敲定,1
榮譽,1
充足,1
登上,1
契機,1
注資,1
新高,1
感謝,1
成功,1
擴展,1
魅力,1
走高,1
激增,1
囊括,1
開採,1
展現,1
強勁,1
升破,1
大力,1
仔細,1
買進,1
優異,1
得獎,1
新創,1
反彈,1
大漲,1
高興,1
活絡,1
獎勵,1
高峰,1
優點,1
走穩,1
全新,1
回穩,1
發光,1
發達,1
利,1
冠軍,1
增設,1
愛好,1
分享,1
良好,1
扭轉,1
美好,1
正成長,1
支持,1
精華,1
便利性,1
智慧,1
興起,1
進展,1
升溫,1
揚,1
大增,1
厲害,1
現增,1
期待,1
贈與,1
財富,1
升任,1
淨,1
健康,1
急拉,1
增添,1
獨家,1
提振,1
漲停,1
掀起,1
入門,1
發動,1
有利於,1
活力,1
多頭,1
漲勢,1
協助,1
買超,1
做多,1
推動,1
優,1
快樂,1
籌資,1
